date,open,high,low,close
2025-02-18 00:01:00,1.04847,1.04849,1.04836,1.0484
2025-02-18 00:02:00,1.04839,1.04844,1.04834,1.04839
2025-02-18 00:03:00,1.04841,1.04849,1.04837,1.04845
2025-02-18 00:04:00,1.04846,1.04853,1.04841,1.04845
2025-02-18 00:05:00,1.04844,1.04852,1.0484,1.04842
2025-02-18 00:06:00,1.04844,1.04851,1.04834,1.04846
2025-02-18 00:07:00,1.04844,1.04852,1.04839,1.04844
2025-02-18 00:08:00,1.04844,1.04861,1.04843,1.04857
2025-02-18 00:09:00,1.04859,1.04861,1.04851,1.04859
2025-02-18 00:10:00,1.04859,1.04866,1.04848,1.04853
2025-02-18 00:11:00,1.04853,1.04854,1.04838,1.04844
2025-02-18 00:12:00,1.04844,1.04853,1.04839,1.04849
2025-02-18 00:13:00,1.04852,1.04852,1.04839,1.04849
2025-02-18 00:14:00,1.04847,1.04856,1.04845,1.04852
2025-02-18 00:15:00,1.04854,1.04854,1.04834,1.04836
2025-02-18 00:16:00,1.04837,1.04841,1.04831,1.04836
2025-02-18 00:17:00,1.04835,1.04844,1.04832,1.04836
2025-02-18 00:18:00,1.04838,1.04844,1.04834,1.04843
2025-02-18 00:19:00,1.04841,1.04844,1.04839,1.04841
2025-02-18 00:20:00,1.0484,1.04845,1.04821,1.04823
2025-02-18 00:21:00,1.04821,1.04826,1.04809,1.04809
2025-02-18 00:22:00,1.04812,1.04824,1.04809,1.04821
2025-02-18 00:23:00,1.0482,1.04825,1.04811,1.04815
2025-02-18 00:24:00,1.04812,1.04818,1.04805,1.04812
2025-02-18 00:25:00,1.0481,1.04814,1.04805,1.04807
2025-02-18 00:26:00,1.04808,1.04812,1.04794,1.04796
2025-02-18 00:27:00,1.04796,1.04804,1.0479,1.04791
2025-02-18 00:28:00,1.04792,1.04808,1.04792,1.04806
2025-02-18 00:29:00,1.04804,1.04805,1.048,1.04804
2025-02-18 00:30:00,1.04803,1.04807,1.048,1.04802
2025-02-18 00:31:00,1.04801,1.04807,1.04798,1.04802
2025-02-18 00:32:00,1.04799,1.04809,1.04797,1.048
2025-02-18 00:33:00,1.04799,1.04806,1.04798,1.04802
2025-02-18 00:34:00,1.04805,1.04806,1.04799,1.04803
